trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
411,False,"{'a': 0.1, 'e': 0.01623415861844141}",25,20,11.60844756897054,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.1, 'e': 0.016071817032256998}",20,12,14.794818080756139,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.1, 'e': 0.015911098861934425}",20,8,22.434948111000196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.1, 'e': 0.015751987873315082}",25,11,27.59690817436314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.1, 'e': 0.015594467994581931}",25,15,19.201355992557442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.1, 'e': 0.015438523314636111}",20,2,30.22380962759008,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.1, 'e': 0.01528413808148975}",20,11,18.836152722512335,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.1, 'e': 0.015131296700674854}",20,8,21.46799668849079,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.1, 'e': 0.014979983733668104}",20,13,13.923919542283201,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.1, 'e': 0.014830183896331423}",25,11,25.174668657787148,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.1, 'e': 0.014681882057368109}",25,14,17.435317669193097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.1, 'e': 0.014535063236794427}",20,7,19.570692228853137,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.1, 'e': 0.014389712604426484}",20,12,15.23002696749517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.1, 'e': 0.014245815478382218}",20,4,24.17839532590478,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.1, 'e': 0.014103357323598397}",20,8,17.537280576204715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.1, 'e': 0.013962323750362412}",20,13,13.101780914381294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.1, 'e': 0.013822700512858787}",35,21,28.68881270222648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.1, 'e': 0.013684473507730199}",20,10,7.419126628186675,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
429,False,"{'a': 0.1, 'e': 0.013547628772652897}",35,22,23.206063345592927,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.1, 'e': 0.013412152484926368}",20,11,19.220681606960376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
